variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"id"	"Variable Label"	"Unique respondent identifier"
"id"	"-999"	"not asked in country"
"id"	"-998"	"not asked due to routing"
"id"	"-997"	"invalid answer"
"id"	"-99"	"refused"
"id"	"-98"	"do not know"
"country"	"Variable Label"	"Country"
"country"	"-999"	"not asked in country"
"country"	"-998"	"not asked due to routing"
"country"	"-997"	"invalid answer"
"country"	"-996"	"did not participate in wave"
"country"	"-99"	"refused"
"country"	"-98"	"do not know"
"country"	"1"	"Hungary"
"country"	"2"	"United States"
"YEAR"	"Variable Label"	"YEAR OF STUDY"
"YEAR"	"-999"	"not asked in country"
"YEAR"	"-998"	"not asked due to routing"
"YEAR"	"-997"	"invalid answer"
"YEAR"	"-99"	"refused"
"YEAR"	"-98"	"do not know"
"ELECTION_MONTH"	"Variable Label"	"DATE ELECTION HELD - MONTH"
"ELECTION_MONTH"	"-999"	"not asked in country"
"ELECTION_MONTH"	"-998"	"not asked due to routing"
"ELECTION_MONTH"	"-997"	"invalid answer"
"ELECTION_MONTH"	"-99"	"refused"
"ELECTION_MONTH"	"-98"	"do not know"
"ELECTION_DAY"	"Variable Label"	"DATE ELECTION HELD - DAY"
"ELECTION_DAY"	"-999"	"not asked in country"
"ELECTION_DAY"	"-998"	"not asked due to routing"
"ELECTION_DAY"	"-997"	"invalid answer"
"ELECTION_DAY"	"-99"	"refused"
"ELECTION_DAY"	"-98"	"do not know"
"ELECTION_YEAR"	"Variable Label"	"DATE ELECTION HELD - YEAR"
"ELECTION_YEAR"	"-999"	"not asked in country"
"ELECTION_YEAR"	"-998"	"not asked due to routing"
"ELECTION_YEAR"	"-997"	"invalid answer"
"ELECTION_YEAR"	"-99"	"refused"
"ELECTION_YEAR"	"-98"	"do not know"
"FIELDWORK_MONTH"	"Variable Label"	"DATE FIELDWORK STARTED - MONTH"
"FIELDWORK_MONTH"	"-999"	"not asked in country"
"FIELDWORK_MONTH"	"-998"	"not asked due to routing"
"FIELDWORK_MONTH"	"-997"	"invalid answer"
"FIELDWORK_MONTH"	"-99"	"refused"
"FIELDWORK_MONTH"	"-98"	"do not know"
"FIELDWORK_DAY"	"Variable Label"	"DATE FIELDWORK STARTED - DAY"
"FIELDWORK_DAY"	"-999"	"not asked in country"
"FIELDWORK_DAY"	"-998"	"not asked due to routing"
"FIELDWORK_DAY"	"-997"	"invalid answer"
"FIELDWORK_DAY"	"-99"	"refused"
"FIELDWORK_DAY"	"-98"	"do not know"
"FIELDWORK_YEAR"	"Variable Label"	"DATE FIELDWORK STARTED - YEAR"
"FIELDWORK_YEAR"	"-999"	"not asked in country"
"FIELDWORK_YEAR"	"-998"	"not asked due to routing"
"FIELDWORK_YEAR"	"-997"	"invalid answer"
"FIELDWORK_YEAR"	"-99"	"refused"
"FIELDWORK_YEAR"	"-98"	"do not know"
"FIELDWORK_DURATION"	"Variable Label"	"DURATION OF FIELDWORK - DAYS"
"FIELDWORK_DURATION"	"-999"	"not asked in country"
"FIELDWORK_DURATION"	"-998"	"not asked due to routing"
"FIELDWORK_DURATION"	"-997"	"invalid answer"
"FIELDWORK_DURATION"	"-99"	"refused"
"FIELDWORK_DURATION"	"-98"	"do not know"
"SCALE_RILE_A"	"Variable Label"	"RIGHT-LEFT POSITION CMP/MARPOR - PARTY A"
"SCALE_RILE_A"	"-999,00"	"not asked in country"
"SCALE_RILE_A"	"-998,00"	"not asked due to routing"
"SCALE_RILE_A"	"-997,00"	"invalid answer"
"SCALE_RILE_A"	"-99,00"	"refused"
"SCALE_RILE_A"	"-98,00"	"do not know"
"SCALE_RILE_B"	"Variable Label"	"RIGHT-LEFT POSITION CMP/MARPOR - PARTY B"
"SCALE_RILE_B"	"-999,00"	"not asked in country"
"SCALE_RILE_B"	"-998,00"	"not asked due to routing"
"SCALE_RILE_B"	"-997,00"	"invalid answer"
"SCALE_RILE_B"	"-99,00"	"refused"
"SCALE_RILE_B"	"-98,00"	"do not know"
"SCALE_RILE_C"	"Variable Label"	"RIGHT-LEFT POSITION CMP/MARPOR - PARTY C"
"SCALE_RILE_C"	"-999,00"	"not asked in country"
"SCALE_RILE_C"	"-998,00"	"not asked due to routing"
"SCALE_RILE_C"	"-997,00"	"invalid answer"
"SCALE_RILE_C"	"-99,00"	"refused"
"SCALE_RILE_C"	"-98,00"	"do not know"
"SCALE_RILE_D"	"Variable Label"	"RIGHT-LEFT POSITION CMP/MARPOR - PARTY D"
"SCALE_RILE_D"	"-999,00"	"not asked in country"
"SCALE_RILE_D"	"-998,00"	"not asked due to routing"
"SCALE_RILE_D"	"-997,00"	"invalid answer"
"SCALE_RILE_D"	"-99,00"	"refused"
"SCALE_RILE_D"	"-98,00"	"do not know"
"SCALE_RILE_E"	"Variable Label"	"RIGHT-LEFT POSITION CMP/MARPOR - PARTY E"
"SCALE_RILE_E"	"-999,00"	"not asked in country"
"SCALE_RILE_E"	"-998,00"	"not asked due to routing"
"SCALE_RILE_E"	"-997,00"	"invalid answer"
"SCALE_RILE_E"	"-99,00"	"refused"
"SCALE_RILE_E"	"-98,00"	"do not know"
"SCALE_WELFARE_A"	"Variable Label"	"WELFARE STATE EXPANSION CMP/MARPOR - PARTY A"
"SCALE_WELFARE_A"	"-999,00"	"not asked in country"
"SCALE_WELFARE_A"	"-998,00"	"not asked due to routing"
"SCALE_WELFARE_A"	"-997,00"	"invalid answer"
"SCALE_WELFARE_A"	"-99,00"	"refused"
"SCALE_WELFARE_A"	"-98,00"	"do not know"
"SCALE_WELFARE_B"	"Variable Label"	"WELFARE STATE EXPANSION CMP/MARPOR - PARTY B"
"SCALE_WELFARE_B"	"-999,00"	"not asked in country"
"SCALE_WELFARE_B"	"-998,00"	"not asked due to routing"
"SCALE_WELFARE_B"	"-997,00"	"invalid answer"
"SCALE_WELFARE_B"	"-99,00"	"refused"
"SCALE_WELFARE_B"	"-98,00"	"do not know"
"SCALE_WELFARE_C"	"Variable Label"	"WELFARE STATE EXPANSION CMP/MARPOR - PARTY C"
"SCALE_WELFARE_C"	"-999,00"	"not asked in country"
"SCALE_WELFARE_C"	"-998,00"	"not asked due to routing"
"SCALE_WELFARE_C"	"-997,00"	"invalid answer"
"SCALE_WELFARE_C"	"-99,00"	"refused"
"SCALE_WELFARE_C"	"-98,00"	"do not know"
"SCALE_WELFARE_D"	"Variable Label"	"WELFARE STATE EXPANSION CMP/MARPOR - PARTY D"
"SCALE_WELFARE_D"	"-999,00"	"not asked in country"
"SCALE_WELFARE_D"	"-998,00"	"not asked due to routing"
"SCALE_WELFARE_D"	"-997,00"	"invalid answer"
"SCALE_WELFARE_D"	"-99,00"	"refused"
"SCALE_WELFARE_D"	"-98,00"	"do not know"
"SCALE_WELFARE_E"	"Variable Label"	"WELFARE STATE EXPANSION CMP/MARPOR - PARTY E"
"SCALE_WELFARE_E"	"-999,00"	"not asked in country"
"SCALE_WELFARE_E"	"-998,00"	"not asked due to routing"
"SCALE_WELFARE_E"	"-997,00"	"invalid answer"
"SCALE_WELFARE_E"	"-99,00"	"refused"
"SCALE_WELFARE_E"	"-98,00"	"do not know"
"ID_A"	"Variable Label"	"PARTY IDENTIFIER CMP/MARPOR - PARTY A"
"ID_A"	"-999"	"not asked in country"
"ID_A"	"-998"	"not asked due to routing"
"ID_A"	"-997"	"invalid answer"
"ID_A"	"-99"	"refused"
"ID_A"	"-98"	"do not know"
"ID_B"	"Variable Label"	"PARTY IDENTIFIER CMP/MARPOR - PARTY B"
"ID_B"	"-999"	"not asked in country"
"ID_B"	"-998"	"not asked due to routing"
"ID_B"	"-997"	"invalid answer"
"ID_B"	"-99"	"refused"
"ID_B"	"-98"	"do not know"
"ID_C"	"Variable Label"	"PARTY IDENTIFIER CMP/MARPOR - PARTY C"
"ID_C"	"-999"	"not asked in country"
"ID_C"	"-998"	"not asked due to routing"
"ID_C"	"-997"	"invalid answer"
"ID_C"	"-99"	"refused"
"ID_C"	"-98"	"do not know"
"ID_D"	"Variable Label"	"PARTY IDENTIFIER CMP/MARPOR - PARTY D"
"ID_D"	"-999"	"not asked in country"
"ID_D"	"-998"	"not asked due to routing"
"ID_D"	"-997"	"invalid answer"
"ID_D"	"-99"	"refused"
"ID_D"	"-98"	"do not know"
