variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"GESIS_za_nr"	"Variable Label"	"GESIS study number"
"GESIS_version"	"Variable Label"	"GESIS version"
"GESIS_doi"	"Variable Label"	"GESIS doi"
"resp_id"	"Variable Label"	"RESPONDENT ID (RANDOM)"
"PREwelle"	"Variable Label"	"BEFRAGUNGSZEITRAUM PRE (2012 ODER 2013)"
"PREwelle"	"1"	"Welle 1 - PRE-Erhebung"
"PREwelle"	"2"	"Welle 2 - PRE-Erhebung"
"prepost"	"Variable Label"	"WAVE ID"
"prepost"	"1"	"nur PRE-Befragung"
"prepost"	"2"	"PRE- und POST-Befragung"
"kontakt"	"Variable Label"	"ANZAHL DER KONTAKTVERSUCHE"
"anzges"	"Variable Label"	"ANZAHL DER PERSONEN IM HAUSHALT"
"anzges"	"1"	"1"
"anzges"	"2"	"2"
"anzges"	"3"	"3"
"anzges"	"4"	"4"
"anzges"	"5"	"5"
"anzges"	"6"	"6+"
"anzges"	"88"	"weiss nicht"
"anzges"	"99"	"verweigert"
"w1_qanz1"	"Variable Label"	"PERSONEN IM HAUSHALT >=15 Jahre"
"w1_qanz1"	"1"	"1"
"w1_qanz1"	"2"	"2"
"w1_qanz1"	"3"	"3"
"w1_qanz1"	"4"	"4"
"w1_qanz1"	"5"	"5+"
"w1_qanz2"	"Variable Label"	"PERSONEN IM HAUSHALT 6-14 Jahre"
"w1_qanz2"	"0"	"0"
"w1_qanz2"	"1"	"1"
"w1_qanz2"	"2"	"2"
"w1_qanz2"	"3"	"3+"
"w1_qanz3"	"Variable Label"	"PERSONEN IM HAUSHALT 2-5 Jahre"
"w1_qanz3"	"0"	"0"
"w1_qanz3"	"1"	"1"
"w1_qanz3"	"2"	"2+"
"w1_qanz4"	"Variable Label"	"PERSONEN IM HAUSHALT <2 Jahre"
"w1_qanz4"	"0"	"0"
"w1_qanz4"	"1"	"1+"
"w1_qanz5"	"Variable Label"	"PERSONEN IM HAUSHALT <18 Jahre"
"w1_qanz5"	"0"	"0"
"w1_qanz5"	"1"	"1"
"w1_qanz5"	"2"	"2"
"w1_qanz5"	"3"	"3"
"w1_qanz5"	"4"	"4+"
"auszp"	"Variable Label"	"ZIELPERSON"
"auszp"	"1"	"aelteste Person"
"auszp"	"2"	"2. aelteste Person"
"auszp"	"3"	"3. aelteste Person"
"auszp"	"4"	"4. aelteste Person"
"auszp"	"5"	"5.-7. aelteste Person"
"persausw"	"Variable Label"	"PERSONENAUSWAHL (SCHWEDENSCHLUESSEL)"
"persausw"	"1"	"ZP wurde zufaellig ausgewaehlt"
"persausw"	"2"	"andere ZP wurde ausgewaehlt"
"zpsex"	"Variable Label"	"GESCHLECHT"
"zpsex"	"1"	"maennlich"
"zpsex"	"2"	"weiblich"
"zpage"	"Variable Label"	"ALTER DER ZIELPERSON IN JAHREN (ZEITPUNKT DES INTERVIEWS)"
"zpage"	"83"	"83+"
"zpgebj"	"Variable Label"	"GEBURTSJAHR DER ZIELPERSON"
"zpgebj"	"1930"	"<=1930"
"w1_q4"	"Variable Label"	"POLITISCHES INTERESSE"
"w1_q4"	"1"	"sehr interessiert"
"w1_q4"	"2"	"ziemlich interessiert"
"w1_q4"	"3"	"wenig interessiert"
"w1_q4"	"4"	"gar nicht interessiert"
"w1_q4"	"88"	"weiss nicht"
"w1_q4"	"99"	"verweigert"
"w1_q5"	"Variable Label"	"WICHTIGSTES THEMA (NENNUNG NEIN/JA)"
"w1_q5"	"0"	"nicht genannt"
"w1_q5"	"1"	"genannt"
"w1_q5"	"88"	"weiss nicht"
"w1_q5"	"99"	"verweigert"
"w1_q5o"	"Variable Label"	"WICHTIGSTES THEMA (STRING)"
"w1_q5x1"	"Variable Label"	"WICHTIGSTES THEMA: KODIERUNG LEVEL1"
"w1_q5x1"	"10000"	"Wirtschaft"
"w1_q5x1"	"11000"	"Wohlfahrtsstaat"
"w1_q5x1"	"12000"	"Budget"
"w1_q5x1"	"13000"	"Bildung und Kultur"
"w1_q5x1"	"14000"	"Sicherheit"
"w1_q5x1"	"15000"	"Bundesheer"
"w1_q5x1"	"16000"	"Aussenpolitik"
"w1_q5x1"	"17000"	"Europa"
"w1_q5x1"	"18000"	"Infrastruktur"
"w1_q5x1"	"19000"	"Gesellschaft"
"w1_q5x1"	"20000"	"Umweltschutz"
"w1_q5x1"	"21000"	"Institutionenreform"
"w1_q5x1"	"22000"	"Immigration"
"w1_q5x1"	"23000"	"Regierungsbildung"
"w1_q5x1"	"24000"	"Ideologie"
"w1_q5x1"	"25000"	"Politics"
"w1_q5x1"	"77777"	"Mehrfachnennung"
"w1_q5x1"	"99998"	"kein Problem in Oesterreich"
"w1_q5x1"	"99999"	"nicht einordenbar"
"w1_q5x2"	"Variable Label"	"WICHTIGSTES THEMA: KODIERUNG LEVEL2"
"w1_q5x2"	"10100"	"Wirtschaft (allgem.)"
"w1_q5x2"	"10200"	"Arbeitsmarkt/Arbeitslosigkeit"
"w1_q5x2"	"10300"	"Markt/Liberalisierung/Deregulierung"
"w1_q5x2"	"10400"	"Globalisierung"
"w1_q5x2"	"10500"	"Finanzsektor/Banken"
"w1_q5x2"	"10600"	"Wirtschaft: Unternehmen"
"w1_q5x2"	"10700"	"Wirtschaft: Arbeitnehmer"
"w1_q5x2"	"10800"	"Konsumenten/Wohnen"
"w1_q5x2"	"10900"	"Landwirtschaft"
"w1_q5x2"	"11100"	"Wohlfahrtsstaat (allgem.)"
"w1_q5x2"	"11200"	"Unterstuetzung von Arbeitslosen"
"w1_q5x2"	"11300"	"Gesundheitssystem"
"w1_q5x2"	"11400"	"Gesundheit: Rechte/Pflichte von Individuen"
"w1_q5x2"	"11500"	"Pflege & Betreuung/Behinderte"
"w1_q5x2"	"11600"	"Pension"
"w1_q5x2"	"11700"	"Familien/Kinder/Jugendliche"
"w1_q5x2"	"11900"	"Gefahrenschutz/Katastrophen"
"w1_q5x2"	"11950"	"Sport/Freizeit"
"w1_q5x2"	"12100"	"Budget, Staatsverschuldung"
"w1_q5x2"	"12200"	"Steuern allgemein"
"w1_q5x2"	"12300"	"Steuern fuer Individuen"
"w1_q5x2"	"12400"	"Steuern fuer Unternehmen"
"w1_q5x2"	"13100"	"Bildung allgemein"
"w1_q5x2"	"13200"	"Kindergarten"
"w1_q5x2"	"13300"	"Schule"
"w1_q5x2"	"13400"	"Universitaet und Fachhochschule"
"w1_q5x2"	"13500"	"Lehre"
"w1_q5x2"	"13600"	"Erwachsenenbildung/Bildung und Beruf"
"w1_q5x2"	"13700"	"Kultur"
"w1_q5x2"	"14100"	"Kriminalitaetsbekaempfung (allgem.)"
"w1_q5x2"	"14200"	"Strafverfolgung"
"w1_q5x2"	"14300"	"Strafausmass/Strafvollzug"
"w1_q5x2"	"14400"	"Kriminalitaetspraevention"
"w1_q5x2"	"14500"	"Wirtschaftskriminalitaet"
"w1_q5x2"	"14600"	"Terrorismus"
"w1_q5x2"	"15100"	"Heer: allgemein und Inneneinsatz"
"w1_q5x2"	"15200"	"Heer: Reform/Strukturveraenderung"
"w1_q5x2"	"15300"	"Heer: Ausland"
"w1_q5x2"	"16100"	"internationale Zusammenarbeit"
"w1_q5x2"	"16200"	"bilaterale Beziehungen"
"w1_q5x2"	"16300"	"Krieg und Frieden"
"w1_q5x2"	"17100"	"EU: allgemein"
"w1_q5x2"	"17200"	"EU: Vertraege/Integrationsschritte/Euro"
"w1_q5x2"	"17300"	"EU: Erweiterung"
"w1_q5x2"	"17400"	"EU: Partizipation/Demokratie"
"w1_q5x2"	"17500"	"EU: Policies"
"w1_q5x2"	"18100"	"Strassenverkehr"
"w1_q5x2"	"18200"	"Schienenverkehr"
"w1_q5x2"	"18300"	"Luftverkehr/Schifffahrt"
"w1_q5x2"	"18400"	"Energieversorgung"
"w1_q5x2"	"18500"	"Telekommunikation"
"w1_q5x2"	"18600"	"Infrastruktur (allgem.)"
"w1_q5x2"	"19100"	"Gleichberechtigung"
"w1_q5x2"	"19200"	"Partnerschaft und sexuelle Orientierung"
"w1_q5x2"	"19300"	"Abtreibung und bioethische Fragen"
"w1_q5x2"	"19400"	"Religion"
"w1_q5x2"	"19500"	"Zensur"
"w1_q5x2"	"19600"	"NS-Zeit/Rechtsextremismus"
"w1_q5x2"	"19700"	"autochthone Minderheiten"
"w1_q5x2"	"19800"	"Buergerrechte/Menschenrechte/Grundrechte"
"w1_q5x2"	"19900"	"Medien"
"w1_q5x2"	"19950"	"Patriotismus/Nationalismus/Heimat"
"w1_q5x2"	"20100"	"Umweltschutz (allgem.)"
"w1_q5x2"	"20200"	"Massnahmen gegen Umweltbelastung"
"w1_q5x2"	"20300"	"Klima"
"w1_q5x2"	"20400"	"Tierschutz"
"w1_q5x2"	"21100"	"Politisches System/Regierungssystem"
"w1_q5x2"	"21200"	"Verhalten von Politikern/Korruption/Skandale"
"w1_q5x2"	"21300"	"Foederalismus"
"w1_q5x2"	"21400"	"Verwaltung - oeffentlicher Dienst"
"w1_q5x2"	"21500"	"Reform des Parlaments"
"w1_q5x2"	"21600"	"Reform der Parteien"
"w1_q5x2"	"21700"	"Reform des Wahlrechts"
"w1_q5x2"	"21800"	"Direkte Demokratie"
"w1_q5x2"	"21900"	"Justizwesen"
"w1_q5x2"	"22100"	"Einwanderung/Immigration allgemein"
"w1_q5x2"	"22200"	"Asyl/Fluechtlinge"
"w1_q5x2"	"22300"	"Integration von Auslaendern"
"w1_q5x2"	"22400"	"Staatsbuergerschaft"
"w1_q5x2"	"22500"	"Islam"
"w1_q5x2"	"22600"	"Auslaender und Kriminalitaet"
"w1_q5x2"	"22700"	"Auslaender und Sozialsystem"
"w1_q5x2"	"22800"	"Auslaender und Schule/Bildung"
"w1_q5x2"	"22900"	"Auslaender und Arbeitsmarkt"
"w1_q5x2"	"22950"	"(Anti-)Rassimus"
"w1_q5x2"	"23100"	"Koalitionspraeferenzen/Regierungsbildung"
"w1_q5x2"	"23200"	"besondere Regierungsformen"
"w1_q5x2"	"24100"	"Parteiideologie"
"w1_q5x2"	"25100"	"Wahlkampf"
"w1_q5x2"	"77777"	"Mehrfachnennung"
"w1_q5x2"	"99998"	"es gibt kein Problem in Oesterreich"
"w1_q5x2"	"99999"	"nicht einordenbar"
"w1_q5mx1"	"Variable Label"	"WICHTIGSTES THEMA: MEHRFACHNENNUNG 1 (LEVEL2)"
"w1_q5mx1"	"10100"	"Wirtschaft (allgem.)"
"w1_q5mx1"	"10200"	"Arbeitsmarkt/Arbeitslosigkeit"
"w1_q5mx1"	"10300"	"Markt/Liberalisierung/Deregulierung"
"w1_q5mx1"	"10400"	"Globalisierung"
"w1_q5mx1"	"10500"	"Finanzsektor/Banken"
"w1_q5mx1"	"10600"	"Wirtschaft: Unternehmen"
"w1_q5mx1"	"10700"	"Wirtschaft: Arbeitnehmer"
"w1_q5mx1"	"10800"	"Konsumenten/Wohnen"
"w1_q5mx1"	"10900"	"Landwirtschaft"
"w1_q5mx1"	"11100"	"Wohlfahrtsstaat (allgem.)"
"w1_q5mx1"	"11200"	"Unterstuetzung von Arbeitslosen"
"w1_q5mx1"	"11300"	"Gesundheitssystem"
"w1_q5mx1"	"11400"	"Gesundheit: Rechte/Pflichte von Individuen"
"w1_q5mx1"	"11500"	"Pflege & Betreuung/Behinderte"
"w1_q5mx1"	"11600"	"Pension"
"w1_q5mx1"	"11700"	"Familien/Kinder/Jugendliche"
"w1_q5mx1"	"11900"	"Gefahrenschutz/Katastrophen"
"w1_q5mx1"	"11950"	"Sport/Freizeit"
"w1_q5mx1"	"12100"	"Budget, Staatsverschuldung"
"w1_q5mx1"	"12200"	"Steuern allgemein"
"w1_q5mx1"	"12300"	"Steuern fuer Individuen"
"w1_q5mx1"	"12400"	"Steuern fuer Unternehmen"
"w1_q5mx1"	"13100"	"Bildung allgemein"
"w1_q5mx1"	"13200"	"Kindergarten"
"w1_q5mx1"	"13300"	"Schule"
"w1_q5mx1"	"13400"	"Universitaet und Fachhochschule"
"w1_q5mx1"	"13500"	"Lehre"
"w1_q5mx1"	"13600"	"Erwachsenenbildung/Bildung und Beruf"
"w1_q5mx1"	"13700"	"Kultur"
"w1_q5mx1"	"14100"	"Kriminalitaetsbekaempfung (allgem.)"
"w1_q5mx1"	"14200"	"Strafverfolgung"
"w1_q5mx1"	"14300"	"Strafausmass/Strafvollzug"
"w1_q5mx1"	"14400"	"Kriminalitaetspraevention"
"w1_q5mx1"	"14500"	"Wirtschaftskriminalitaet"
"w1_q5mx1"	"14600"	"Terrorismus"
"w1_q5mx1"	"15100"	"Heer: allgemein und Inneneinsatz"
"w1_q5mx1"	"15200"	"Heer: Reform/Strukturveraenderung"
"w1_q5mx1"	"15300"	"Heer: Ausland"
"w1_q5mx1"	"16100"	"internationale Zusammenarbeit"
"w1_q5mx1"	"16200"	"bilaterale Beziehungen"
"w1_q5mx1"	"16300"	"Krieg und Frieden"
"w1_q5mx1"	"17100"	"EU: allgemein"
"w1_q5mx1"	"17200"	"EU: Vertraege/Integrationsschritte/Euro"
"w1_q5mx1"	"17300"	"EU: Erweiterung"
"w1_q5mx1"	"17400"	"EU: Partizipation/Demokratie"
"w1_q5mx1"	"17500"	"EU: Policies"
"w1_q5mx1"	"18100"	"Strassenverkehr"
"w1_q5mx1"	"18200"	"Schienenverkehr"
"w1_q5mx1"	"18300"	"Luftverkehr/Schifffahrt"
"w1_q5mx1"	"18400"	"Energieversorgung"
"w1_q5mx1"	"18500"	"Telekommunikation"
"w1_q5mx1"	"18600"	"Infrastruktur (allgem.)"
"w1_q5mx1"	"19100"	"Gleichberechtigung"
"w1_q5mx1"	"19200"	"Partnerschaft und sexuelle Orientierung"
"w1_q5mx1"	"19300"	"Abtreibung und bioethische Fragen"
"w1_q5mx1"	"19400"	"Religion"
"w1_q5mx1"	"19500"	"Zensur"
"w1_q5mx1"	"19600"	"NS-Zeit/Rechtsextremismus"
"w1_q5mx1"	"19700"	"autochthone Minderheiten"
"w1_q5mx1"	"19800"	"Buergerrechte/Menschenrechte/Grundrechte"
"w1_q5mx1"	"19900"	"Medien"
"w1_q5mx1"	"19950"	"Patriotismus/Nationalismus/Heimat"
"w1_q5mx1"	"20100"	"Umweltschutz (allgem.)"
"w1_q5mx1"	"20200"	"Massnahmen gegen Umweltbelastung"
"w1_q5mx1"	"20300"	"Klima"
"w1_q5mx1"	"20400"	"Tierschutz"
"w1_q5mx1"	"21100"	"Politisches System/Regierungssystem"
"w1_q5mx1"	"21200"	"Verhalten von Politikern/Korruption/Skandale"
"w1_q5mx1"	"21300"	"Foederalismus"
"w1_q5mx1"	"21400"	"Verwaltung - oeffentlicher Dienst"
"w1_q5mx1"	"21500"	"Reform des Parlaments"
"w1_q5mx1"	"21600"	"Reform der Parteien"
"w1_q5mx1"	"21700"	"Reform des Wahlrechts"
"w1_q5mx1"	"21800"	"Direkte Demokratie"
"w1_q5mx1"	"21900"	"Justizwesen"
"w1_q5mx1"	"22100"	"Einwanderung/Immigration allgemein"
"w1_q5mx1"	"22200"	"Asyl/Fluechtlinge"
"w1_q5mx1"	"22300"	"Integration von Auslaendern"
"w1_q5mx1"	"22400"	"Staatsbuergerschaft"
"w1_q5mx1"	"22500"	"Islam"
"w1_q5mx1"	"22600"	"Auslaender und Kriminalitaet"
"w1_q5mx1"	"22700"	"Auslaender und Sozialsystem"
"w1_q5mx1"	"22800"	"Auslaender und Schule/Bildung"
"w1_q5mx1"	"22900"	"Auslaender und Arbeitsmarkt"
"w1_q5mx1"	"22950"	"(Anti-)Rassimus"
"w1_q5mx1"	"23100"	"Koalitionspraeferenzen/Regierungsbildung"
"w1_q5mx1"	"23200"	"besondere Regierungsformen"
"w1_q5mx1"	"24100"	"Parteiideologie"
"w1_q5mx1"	"25100"	"Wahlkampf"
"w1_q5mx1"	"77777"	"Mehrfachnennung"
"w1_q5mx1"	"99998"	"es gibt kein Problem in Oesterreich"
"w1_q5mx1"	"99999"	"nicht einordenbar"
"w1_q5mx2"	"Variable Label"	"WICHTIGSTES THEMA: MEHRFACHNENNUNG 2 (LEVEL2)"
"w1_q5mx2"	"10100"	"Wirtschaft (allgem.)"
"w1_q5mx2"	"10200"	"Arbeitsmarkt/Arbeitslosigkeit"
"w1_q5mx2"	"10300"	"Markt/Liberalisierung/Deregulierung"
"w1_q5mx2"	"10400"	"Globalisierung"
"w1_q5mx2"	"10500"	"Finanzsektor/Banken"
"w1_q5mx2"	"10600"	"Wirtschaft: Unternehmen"
"w1_q5mx2"	"10700"	"Wirtschaft: Arbeitnehmer"
"w1_q5mx2"	"10800"	"Konsumenten/Wohnen"
"w1_q5mx2"	"10900"	"Landwirtschaft"
"w1_q5mx2"	"11100"	"Wohlfahrtsstaat (allgem.)"
"w1_q5mx2"	"11200"	"Unterstuetzung von Arbeitslosen"
"w1_q5mx2"	"11300"	"Gesundheitssystem"
"w1_q5mx2"	"11400"	"Gesundheit: Rechte/Pflichte von Individuen"
"w1_q5mx2"	"11500"	"Pflege & Betreuung/Behinderte"
"w1_q5mx2"	"11600"	"Pension"
"w1_q5mx2"	"11700"	"Familien/Kinder/Jugendliche"
"w1_q5mx2"	"11900"	"Gefahrenschutz/Katastrophen"
"w1_q5mx2"	"11950"	"Sport/Freizeit"
"w1_q5mx2"	"12100"	"Budget, Staatsverschuldung"
"w1_q5mx2"	"12200"	"Steuern allgemein"
"w1_q5mx2"	"12300"	"Steuern fuer Individuen"
"w1_q5mx2"	"12400"	"Steuern fuer Unternehmen"
"w1_q5mx2"	"13100"	"Bildung allgemein"
"w1_q5mx2"	"13200"	"Kindergarten"
"w1_q5mx2"	"13300"	"Schule"
"w1_q5mx2"	"13400"	"Universitaet und Fachhochschule"
"w1_q5mx2"	"13500"	"Lehre"
"w1_q5mx2"	"13600"	"Erwachsenenbildung/Bildung und Beruf"
"w1_q5mx2"	"13700"	"Kultur"
"w1_q5mx2"	"14100"	"Kriminalitaetsbekaempfung (allgem.)"
"w1_q5mx2"	"14200"	"Strafverfolgung"
"w1_q5mx2"	"14300"	"Strafausmass/Strafvollzug"
"w1_q5mx2"	"14400"	"Kriminalitaetspraevention"
"w1_q5mx2"	"14500"	"Wirtschaftskriminalitaet"
"w1_q5mx2"	"14600"	"Terrorismus"
"w1_q5mx2"	"15100"	"Heer: allgemein und Inneneinsatz"
"w1_q5mx2"	"15200"	"Heer: Reform/Strukturveraenderung"
"w1_q5mx2"	"15300"	"Heer: Ausland"
"w1_q5mx2"	"16100"	"internationale Zusammenarbeit"
"w1_q5mx2"	"16200"	"bilaterale Beziehungen"
"w1_q5mx2"	"16300"	"Krieg und Frieden"
"w1_q5mx2"	"17100"	"EU: allgemein"
"w1_q5mx2"	"17200"	"EU: Vertraege/Integrationsschritte/Euro"
"w1_q5mx2"	"17300"	"EU: Erweiterung"
"w1_q5mx2"	"17400"	"EU: Partizipation/Demokratie"
"w1_q5mx2"	"17500"	"EU: Policies"
"w1_q5mx2"	"18100"	"Strassenverkehr"
"w1_q5mx2"	"18200"	"Schienenverkehr"
"w1_q5mx2"	"18300"	"Luftverkehr/Schifffahrt"
"w1_q5mx2"	"18400"	"Energieversorgung"
"w1_q5mx2"	"18500"	"Telekommunikation"
"w1_q5mx2"	"18600"	"Infrastruktur (allgem.)"
"w1_q5mx2"	"19100"	"Gleichberechtigung"
"w1_q5mx2"	"19200"	"Partnerschaft und sexuelle Orientierung"
"w1_q5mx2"	"19300"	"Abtreibung und bioethische Fragen"
"w1_q5mx2"	"19400"	"Religion"
"w1_q5mx2"	"19500"	"Zensur"
"w1_q5mx2"	"19600"	"NS-Zeit/Rechtsextremismus"
"w1_q5mx2"	"19700"	"autochthone Minderheiten"
"w1_q5mx2"	"19800"	"Buergerrechte/Menschenrechte/Grundrechte"
"w1_q5mx2"	"19900"	"Medien"
"w1_q5mx2"	"19950"	"Patriotismus/Nationalismus/Heimat"
"w1_q5mx2"	"20100"	"Umweltschutz (allgem.)"
"w1_q5mx2"	"20200"	"Massnahmen gegen Umweltbelastung"
"w1_q5mx2"	"20300"	"Klima"
"w1_q5mx2"	"20400"	"Tierschutz"
"w1_q5mx2"	"21100"	"Politisches System/Regierungssystem"
"w1_q5mx2"	"21200"	"Verhalten von Politikern/Korruption/Skandale"
"w1_q5mx2"	"21300"	"Foederalismus"
"w1_q5mx2"	"21400"	"Verwaltung - oeffentlicher Dienst"
"w1_q5mx2"	"21500"	"Reform des Parlaments"
"w1_q5mx2"	"21600"	"Reform der Parteien"
"w1_q5mx2"	"21700"	"Reform des Wahlrechts"
"w1_q5mx2"	"21800"	"Direkte Demokratie"
"w1_q5mx2"	"21900"	"Justizwesen"
"w1_q5mx2"	"22100"	"Einwanderung/Immigration allgemein"
"w1_q5mx2"	"22200"	"Asyl/Fluechtlinge"
"w1_q5mx2"	"22300"	"Integration von Auslaendern"
"w1_q5mx2"	"22400"	"Staatsbuergerschaft"
"w1_q5mx2"	"22500"	"Islam"
"w1_q5mx2"	"22600"	"Auslaender und Kriminalitaet"
"w1_q5mx2"	"22700"	"Auslaender und Sozialsystem"
"w1_q5mx2"	"22800"	"Auslaender und Schule/Bildung"
"w1_q5mx2"	"22900"	"Auslaender und Arbeitsmarkt"
"w1_q5mx2"	"22950"	"(Anti-)Rassimus"
"w1_q5mx2"	"23100"	"Koalitionspraeferenzen/Regierungsbildung"
"w1_q5mx2"	"23200"	"besondere Regierungsformen"
"w1_q5mx2"	"24100"	"Parteiideologie"
"w1_q5mx2"	"25100"	"Wahlkampf"
"w1_q5mx2"	"77777"	"Mehrfachnennung"
"w1_q5mx2"	"99998"	"es gibt kein Problem in Oesterreich"
"w1_q5mx2"	"99999"	"nicht einordenbar"
"w1_q5mx3"	"Variable Label"	"WICHTIGSTES THEMA: MEHRFACHNENNUNG 3 (LEVEL2)"
"w1_q5mx3"	"10100"	"Wirtschaft (allgem.)"
"w1_q5mx3"	"10200"	"Arbeitsmarkt/Arbeitslosigkeit"
"w1_q5mx3"	"10300"	"Markt/Liberalisierung/Deregulierung"
"w1_q5mx3"	"10400"	"Globalisierung"
"w1_q5mx3"	"10500"	"Finanzsektor/Banken"
"w1_q5mx3"	"10600"	"Wirtschaft: Unternehmen"
"w1_q5mx3"	"10700"	"Wirtschaft: Arbeitnehmer"
"w1_q5mx3"	"10800"	"Konsumenten/Wohnen"
"w1_q5mx3"	"10900"	"Landwirtschaft"
"w1_q5mx3"	"11100"	"Wohlfahrtsstaat (allgem.)"
"w1_q5mx3"	"11200"	"Unterstuetzung von Arbeitslosen"
"w1_q5mx3"	"11300"	"Gesundheitssystem"
"w1_q5mx3"	"11400"	"Gesundheit: Rechte/Pflichte von Individuen"
"w1_q5mx3"	"11500"	"Pflege & Betreuung/Behinderte"
"w1_q5mx3"	"11600"	"Pension"
"w1_q5mx3"	"11700"	"Familien/Kinder/Jugendliche"
"w1_q5mx3"	"11900"	"Gefahrenschutz/Katastrophen"
"w1_q5mx3"	"11950"	"Sport/Freizeit"
"w1_q5mx3"	"12100"	"Budget, Staatsverschuldung"
"w1_q5mx3"	"12200"	"Steuern allgemein"
"w1_q5mx3"	"12300"	"Steuern fuer Individuen"
"w1_q5mx3"	"12400"	"Steuern fuer Unternehmen"
"w1_q5mx3"	"13100"	"Bildung allgemein"
"w1_q5mx3"	"13200"	"Kindergarten"
"w1_q5mx3"	"13300"	"Schule"
"w1_q5mx3"	"13400"	"Universitaet und Fachhochschule"
"w1_q5mx3"	"13500"	"Lehre"
"w1_q5mx3"	"13600"	"Erwachsenenbildung/Bildung und Beruf"
"w1_q5mx3"	"13700"	"Kultur"
"w1_q5mx3"	"14100"	"Kriminalitaetsbekaempfung (allgem.)"
"w1_q5mx3"	"14200"	"Strafverfolgung"
"w1_q5mx3"	"14300"	"Strafausmass/Strafvollzug"
"w1_q5mx3"	"14400"	"Kriminalitaetspraevention"
"w1_q5mx3"	"14500"	"Wirtschaftskriminalitaet"
"w1_q5mx3"	"14600"	"Terrorismus"
"w1_q5mx3"	"15100"	"Heer: allgemein und Inneneinsatz"
"w1_q5mx3"	"15200"	"Heer: Reform/Strukturveraenderung"
"w1_q5mx3"	"15300"	"Heer: Ausland"
"w1_q5mx3"	"16100"	"internationale Zusammenarbeit"
"w1_q5mx3"	"16200"	"bilaterale Beziehungen"
"w1_q5mx3"	"16300"	"Krieg und Frieden"
"w1_q5mx3"	"17100"	"EU: allgemein"
"w1_q5mx3"	"17200"	"EU: Vertraege/Integrationsschritte/Euro"
"w1_q5mx3"	"17300"	"EU: Erweiterung"
"w1_q5mx3"	"17400"	"EU: Partizipation/Demokratie"
"w1_q5mx3"	"17500"	"EU: Policies"
"w1_q5mx3"	"18100"	"Strassenverkehr"
"w1_q5mx3"	"18200"	"Schienenverkehr"
"w1_q5mx3"	"18300"	"Luftverkehr/Schifffahrt"
"w1_q5mx3"	"18400"	"Energieversorgung"
"w1_q5mx3"	"18500"	"Telekommunikation"
"w1_q5mx3"	"18600"	"Infrastruktur (allgem.)"
"w1_q5mx3"	"19100"	"Gleichberechtigung"
"w1_q5mx3"	"19200"	"Partnerschaft und sexuelle Orientierung"
"w1_q5mx3"	"19300"	"Abtreibung und bioethische Fragen"
"w1_q5mx3"	"19400"	"Religion"
"w1_q5mx3"	"19500"	"Zensur"
"w1_q5mx3"	"19600"	"NS-Zeit/Rechtsextremismus"
"w1_q5mx3"	"19700"	"autochthone Minderheiten"
"w1_q5mx3"	"19800"	"Buergerrechte/Menschenrechte/Grundrechte"
"w1_q5mx3"	"19900"	"Medien"
"w1_q5mx3"	"19950"	"Patriotismus/Nationalismus/Heimat"
"w1_q5mx3"	"20100"	"Umweltschutz (allgem.)"
"w1_q5mx3"	"20200"	"Massnahmen gegen Umweltbelastung"
"w1_q5mx3"	"20300"	"Klima"
"w1_q5mx3"	"20400"	"Tierschutz"
"w1_q5mx3"	"21100"	"Politisches System/Regierungssystem"
"w1_q5mx3"	"21200"	"Verhalten von Politikern/Korruption/Skandale"
"w1_q5mx3"	"21300"	"Foederalismus"
"w1_q5mx3"	"21400"	"Verwaltung - oeffentlicher Dienst"
"w1_q5mx3"	"21500"	"Reform des Parlaments"
"w1_q5mx3"	"21600"	"Reform der Parteien"
"w1_q5mx3"	"21700"	"Reform des Wahlrechts"
"w1_q5mx3"	"21800"	"Direkte Demokratie"
"w1_q5mx3"	"21900"	"Justizwesen"
"w1_q5mx3"	"22100"	"Einwanderung/Immigration allgemein"
"w1_q5mx3"	"22200"	"Asyl/Fluechtlinge"
"w1_q5mx3"	"22300"	"Integration von Auslaendern"
"w1_q5mx3"	"22400"	"Staatsbuergerschaft"
"w1_q5mx3"	"22500"	"Islam"
"w1_q5mx3"	"22600"	"Auslaender und Kriminalitaet"
"w1_q5mx3"	"22700"	"Auslaender und Sozialsystem"
"w1_q5mx3"	"22800"	"Auslaender und Schule/Bildung"
"w1_q5mx3"	"22900"	"Auslaender und Arbeitsmarkt"
"w1_q5mx3"	"22950"	"(Anti-)Rassimus"
"w1_q5mx3"	"23100"	"Koalitionspraeferenzen/Regierungsbildung"
"w1_q5mx3"	"23200"	"besondere Regierungsformen"
"w1_q5mx3"	"24100"	"Parteiideologie"
"w1_q5mx3"	"25100"	"Wahlkampf"
"w1_q5mx3"	"77777"	"Mehrfachnennung"
"w1_q5mx3"	"99998"	"es gibt kein Problem in Oesterreich"
"w1_q5mx3"	"99999"	"nicht einordenbar"
"w1_q6"	"Variable Label"	"ZWEITWICHTIGSTES THEMA (NENNUNG NEIN/JA)"
"w1_q6"	"1"	"Thema genannt"
"w1_q6"	"88"	"weiss nicht"
"w1_q6"	"99"	"verweigert"
"w1_q6o"	"Variable Label"	"ZWEITWICHTIGSTES THEMA (STRING)"
