variable	value	Label
"aint"	"Variable Label"	"Interviewernummer: 1XXX:F2F,2XXX:CATI,3XXX:income, 40XXX:generiert"
"aint"	"-3"	"Filter"
"ajahr"	"Variable Label"	"Refernzjahr"
"amonat"	"Variable Label"	"Referenzmonat"
"apkz"	"Variable Label"	"Personenkennzahl"
"aprox"	"Variable Label"	"Auskunftstyp"
"aprox"	"-3"	"Filter"
"aprox"	"1"	"Selbstauskunft"
"aprox"	"3"	"Termin (unvollständig)"
"aprox"	"200"	"Fremdauskunft unbekannt"
"aprox"	"201"	"Fremdauskunft Person 1"
"aprox"	"202"	"Fremdauskunft Person 2"
"aprox"	"203"	"Fremdauskunft Person 3"
"aprox"	"204"	"Fremdauskunft Person 4"
"aprox"	"205"	"Fremdauskunft Person 5"
"aprox"	"206"	"Fremdauskunft Person 6"
"aprox"	"207"	"Fremdauskunft Person 7"
"aprox"	"208"	"Fremdauskunft Person 8"
"aprox"	"209"	"Fremdauskunft Person 9"
"aprox"	"210"	"Fremdauskunft Person 10"
"aprox"	"211"	"Fremdauskunft Person 11"
"aprox"	"212"	"Fremdauskunft Person 12"
"aprox"	"213"	"Fremdauskunft Person 13"
"aprox"	"214"	"Fremdauskunft Person 14"
"aprox"	"215"	"Fremdauskunft Person 15"
"aprox"	"216"	"Fremdauskunft Person 16"
"aprox"	"217"	"Fremdauskunft Person 17"
"aprox"	"218"	"Fremdauskunft Person 18"
"aprox"	"219"	"Fremdauskunft Person 19"
"aprox"	"220"	"Fremdauskunft Person 20"
"aquartal"	"Variable Label"	"Referenzquartal"
"arefwo"	"Variable Label"	"Sonntag der Referenzwoche"
"arefwo"	"265400841600"	"Filter"
"arefwon"	"Variable Label"	"Referenzwoche numerisch"
"arot"	"Variable Label"	"Rotationsnummer"
"asbhh"	"Variable Label"	"Schlüsselbegriff Haushalt"
"asbper"	"Variable Label"	"Schlüsselbegriff Person"
"atatmeth"	"Variable Label"	"Befragungsmethode"
"atatmeth"	"-3"	"Filter"
"atatmeth"	"1"	"Cati"
"atatmeth"	"2"	"F2F"
"atatmeth"	"3"	"Income Call"
"atatmeth"	"4"	"Neutraler Ausfall"
"atatmeth"	"5"	"Selbstausfüller"
"balt"	"Variable Label"	"Alter"
"balt"	"-3"	"Filter"
"balt5"	"Variable Label"	"5jahres Alterskategorien bis 85"
"balt5"	"0"	"0-14"
"balt5"	"1"	"15-19"
"balt5"	"2"	"20-24"
"balt5"	"3"	"25-29"
"balt5"	"4"	"30-34"
"balt5"	"5"	"35-39"
"balt5"	"6"	"40-44"
"balt5"	"7"	"45-49"
"balt5"	"8"	"50-54"
"balt5"	"9"	"55-59"
"balt5"	"10"	"60-64"
"balt5"	"11"	"65-69"
"balt5"	"12"	"70-74"
"balt5"	"13"	"75-79"
"balt5"	"14"	"80-85"
"balt5"	"15"	"85+"
"bfst"	"Variable Label"	"Familienstand"
"bfst"	"-3"	"Filter"
"bfst"	"1"	"Ledig"
"bfst"	"2"	"Verheiratet"
"bfst"	"3"	"Verwitwet"
"bfst"	"4"	"Geschieden"
"bgebk"	"Variable Label"	"Geburtsdatum (Monat, Jahr)"
"bgeblan"	"Variable Label"	"Geburtsland"
"bgeblan"	"-3"	"Filter"
"bgeblan"	"1"	"Österreich"
"bgeblan"	"2"	"Deutschland"
"bgeblan"	"4"	"Ungarn"
"bgeblan"	"6"	"Italien"
"bgeblan"	"7"	"Schweiz"
"bgeblan"	"8"	"Türkei"
"bgeblan"	"10"	"Liechtenstein"
"bgeblan"	"11"	"Kroatien"
"bgeblan"	"12"	"Slowenien"
"bgeblan"	"13"	"Bosnien und Herzegowina"
"bgeblan"	"14"	"Mazedonien, ehemalige jugoslaw. Republik"
"bgeblan"	"15"	"Jugoslawien (Serbien und Montenegro)"
"bgeblan"	"16"	"Slowakei"
"bgeblan"	"17"	"Tschechische Republik"
"bgeblan"	"20"	"Albanien"
"bgeblan"	"21"	"Andorra"
"bgeblan"	"22"	"Belgien"
"bgeblan"	"23"	"Bulgarien"
"bgeblan"	"24"	"Dänemark"
"bgeblan"	"25"	"Estland"
"bgeblan"	"26"	"Finnland"
"bgeblan"	"27"	"Frankreich"
"bgeblan"	"28"	"Griechenland"
"bgeblan"	"29"	"Irland"
"bgeblan"	"30"	"Island"
"bgeblan"	"31"	"Lettland"
"bgeblan"	"32"	"Litauen"
"bgeblan"	"33"	"Luxemburg"
